Video,Config,QP,OriginalSize,CompressedSize,CompressionRatio,PSNR,EncodingTime 
daria_jack,intra,32,3460320,10350,334,N/A,19:00:31.31-19:01:08.09 
daria_jack,intra,42,3460320,3222,1073,N/A,19:01:08.11-19:01:20.56 
daria_jack,intra,32,3460320,10350,334,N/A,19:06:42.37-19:07:19.21 
daria_jack,intra,42,3460320,3222,1073,N/A,19:07:19.24-19:07:31.59 
daria_jack,intra,32,3460320,77255,44,N/A,19:10:14.18-19:14:44.57 
daria_jack,intra,42,3460320,23856,145,N/A,19:14:44.61-19:16:31.81 
daria_jack,intra,22,3460320,27336,126,N/A,19:18:32.60-19:18:32.60 
daria_jack,intra,22,3460320,303990,11,N/A,19:23:49.76-19:32:47.79 
daria_jack,intra,32,3460320,77255,44,N/A,19:32:47.82-19:37:23.98 
daria_jack,intra,42,3460320,23856,145,N/A,19:37:24.01-19:38:56.49 
daria_jack,intra,50,3460320,13311,259,N/A,19:38:56.51-19:39:49.03 
daria_jack,lowdelay,42,3460320,2711,1276,N/A,19:48:23.29-19:49:05.92 
daria_jack,lowdelay,32,3460320,6289,550,N/A,19:49:05.94-19:50:11.29 
Beauty_1920x1080_120fps_420_8bit_YUV,dcvc,35,1866240000,,,N/A,20:40:43.75-20:40:47.67 
daria_jack,dcvc,35,3460320,,,N/A,20:52:23.88-20:52:26.51 
daria_jack,dcvc,%q,3460320,,,N/A,20:52:23.88-20:52:26.51 
daria_jack,dcvc,35,3460320,,,N/A,20:54:57.75-20:55:01.62 
daria_jack,dcvc,35,3460320,,,N/A,20:56:50.74-20:56:53.82 
